157: 22.021675, 75.959976 avg, 0.000001 rate, 3.752633 seconds, 10048 images
158: 20.298250, 70.393806 avg, 0.000001 rate, 3.758860 seconds, 10112 images
159: 19.622555, 65.316681 avg, 0.000001 rate, 3.874949 seconds, 10176 images
160: 18.668865, 60.651901 avg, 0.000001 rate, 4.456038 seconds, 10240 images
161: 34.046898, 57.991402 avg, 0.000001 rate, 7.128399 seconds, 10304 images
162: 32.540878, 55.446350 avg, 0.000001 rate, 7.322343 seconds, 10368 images
163: 30.748838, 52.976601 avg, 0.000001 rate, 7.019450 seconds, 10432 images
164: 29.889938, 50.667934 avg, 0.000001 rate, 6.475891 seconds, 10496 images
165: 28.318842, 48.433025 avg, 0.000001 rate, 6.386736 seconds, 10560 images
166: 25.593836, 46.149105 avg, 0.000001 rate, 7.292842 seconds, 10624 images
167: 24.531984, 43.987392 avg, 0.000001 rate, 7.248292 seconds, 10688 images
168: 22.752150, 41.863869 avg, 0.000001 rate, 6.568586 seconds, 10752 images
169: 21.739014, 39.851383 avg, 0.000001 rate, 6.460702 seconds, 10816 images
170: 20.639252, 37.930168 avg, 0.000001 rate, 6.394489 seconds, 10880 images
171: 14.101764, 35.547329 avg, 0.000001 rate, 4.555089 seconds, 10944 images
172: 14.676498, 33.460247 avg, 0.000001 rate, 5.275668 seconds, 11008 images
173: 13.055339, 31.419756 avg, 0.000001 rate, 4.955879 seconds, 11072 images
174: 14.114507, 29.689232 avg, 0.000001 rate, 4.889993 seconds, 11136 images
175: 12.295689, 27.949877 avg, 0.000001 rate, 4.666373 seconds, 11200 images
176: 11.538981, 26.308786 avg, 0.000001 rate, 4.877685 seconds, 11264 images
177: 10.494574, 24.727365 avg, 0.000001 rate, 4.714727 seconds, 11328 images
178: 10.657934, 23.320423 avg, 0.000001 rate, 4.867322 seconds, 11392 images
179: 9.807090, 21.969090 avg, 0.000001 rate, 4.829117 seconds, 11456 images
180: 9.291870, 20.701368 avg, 0.000001 rate, 4.748166 seconds, 11520 images
181: 10.181817, 19.649414 avg, 0.000001 rate, 5.705217 seconds, 11584 images
182: 11.325122, 18.816984 avg, 0.000001 rate, 5.983987 seconds, 11648 images
183: 10.579856, 17.993271 avg, 0.000001 rate, 5.582821 seconds, 11712 images
184: 9.290941, 17.123037 avg, 0.000001 rate, 5.301357 seconds, 11776 images
185: 9.601954, 16.370930 avg, 0.000001 rate, 5.460018 seconds, 11840 images
186: 8.752585, 15.609096 avg, 0.000001 rate, 5.828432 seconds, 11904 images
187: 8.473774, 14.895563 avg, 0.000001 rate, 5.381391 seconds, 11968 images
188: 7.424565, 14.148463 avg, 0.000001 rate, 5.318678 seconds, 12032 images
189: 7.772150, 13.510832 avg, 0.000001 rate, 5.844657 seconds, 12096 images
190: 8.098293, 12.969578 avg, 0.000001 rate, 5.550326 seconds, 12160 images
191: 7.603261, 12.432946 avg, 0.000001 rate, 5.383545 seconds, 12224 images
192: 6.941720, 11.883823 avg, 0.000001 rate, 5.339175 seconds, 12288 images
193: 7.341602, 11.429602 avg, 0.000001 rate, 5.807477 seconds, 12352 images
194: 6.894743, 10.976116 avg, 0.000001 rate, 6.111778 seconds, 12416 images
195: 7.016904, 10.580195 avg, 0.000001 rate, 5.533609 seconds, 12480 images
196: 5.908779, 10.113053 avg, 0.000001 rate, 5.224779 seconds, 12544 images
197: 6.373606, 9.739109 avg, 0.000002 rate, 5.330883 seconds, 12608 images
198: 5.797579, 9.344956 avg, 0.000002 rate, 5.816144 seconds, 12672 images
199: 5.727284, 8.983190 avg, 0.000002 rate, 5.264184 seconds, 12736 images
200: 6.514681, 8.736339 avg, 0.000002 rate, 5.253246 seconds, 12800 images
201: 6.070845, 8.469790 avg, 0.000002 rate, 4.454053 seconds, 12864 images
202: 5.246106, 8.147421 avg, 0.000002 rate, 4.377102 seconds, 12928 images
203: 4.924906, 7.825170 avg, 0.000002 rate, 4.683494 seconds, 12992 images
204: 5.440473, 7.586700 avg, 0.000002 rate, 5.550341 seconds, 13056 images
205: 5.144370, 7.342467 avg, 0.000002 rate, 5.523515 seconds, 13120 images
206: 5.097418, 7.117962 avg, 0.000002 rate, 5.545294 seconds, 13184 images
207: 4.993145, 6.905480 avg, 0.000002 rate, 5.840424 seconds, 13248 images
208: 5.355020, 6.750434 avg, 0.000002 rate, 4.933824 seconds, 13312 images
209: 5.271190, 6.602510 avg, 0.000002 rate, 4.974034 seconds, 13376 images
210: 4.843469, 6.426606 avg, 0.000002 rate, 4.715123 seconds, 13440 images
211: 4.617338, 6.245679 avg, 0.000002 rate, 4.274782 seconds, 13504 images
212: 4.332313, 6.054342 avg, 0.000002 rate, 4.114094 seconds, 13568 images
213: 4.747909, 5.923699 avg, 0.000002 rate, 3.891613 seconds, 13632 images
214: 3.366437, 5.667973 avg, 0.000002 rate, 3.821527 seconds, 13696 images
215: 5.166283, 5.617804 avg, 0.000002 rate, 3.796692 seconds, 13760 images
216: 4.559386, 5.511962 avg, 0.000002 rate, 4.102510 seconds, 13824 images
217: 4.604022, 5.421168 avg, 0.000002 rate, 4.211546 seconds, 13888 images
218: 3.916917, 5.270743 avg, 0.000002 rate, 3.979839 seconds, 13952 images
219: 4.749601, 5.218629 avg, 0.000002 rate, 4.109230 seconds, 14016 images
220: 3.839971, 5.080763 avg, 0.000002 rate, 3.973538 seconds, 14080 images
221: 4.230775, 4.995764 avg, 0.000002 rate, 5.561142 seconds, 14144 images
222: 3.476699, 4.843858 avg, 0.000002 rate, 5.384829 seconds, 14208 images
223: 4.599567, 4.819428 avg, 0.000002 rate, 5.430291 seconds, 14272 images
224: 4.256800, 4.763165 avg, 0.000003 rate, 5.660310 seconds, 14336 images
225: 4.659864, 4.752835 avg, 0.000003 rate, 5.963731 seconds, 14400 images
226: 3.442417, 4.621793 avg, 0.000003 rate, 5.448242 seconds, 14464 images
227: 4.577366, 4.617351 avg, 0.000003 rate, 5.318094 seconds, 14528 images
228: 3.993692, 4.554985 avg, 0.000003 rate, 5.385001 seconds, 14592 images
229: 4.719595, 4.571445 avg, 0.000003 rate, 5.315990 seconds, 14656 images
230: 3.509844, 4.465285 avg, 0.000003 rate, 5.557701 seconds, 14720 images
231: 3.922479, 4.411005 avg, 0.000003 rate, 6.631992 seconds, 14784 images
232: 4.120033, 4.381907 avg, 0.000003 rate, 6.723770 seconds, 14848 images
233: 3.552203, 4.298937 avg, 0.000003 rate, 6.869095 seconds, 14912 images
234: 4.045292, 4.273572 avg, 0.000003 rate, 7.311971 seconds, 14976 images
235: 3.673959, 4.213611 avg, 0.000003 rate, 7.293901 seconds, 15040 images
236: 3.976262, 4.189876 avg, 0.000003 rate, 7.647578 seconds, 15104 images
237: 4.488908, 4.219779 avg, 0.000003 rate, 6.892569 seconds, 15168 images
238: 3.299450, 4.127746 avg, 0.000003 rate, 7.007693 seconds, 15232 images
239: 4.447895, 4.159761 avg, 0.000003 rate, 6.648632 seconds, 15296 images
240: 3.086168, 4.052402 avg, 0.000003 rate, 7.203941 seconds, 15360 images
241: 4.566866, 4.103848 avg, 0.000003 rate, 9.304764 seconds, 15424 images
242: 4.349220, 4.128385 avg, 0.000003 rate, 8.847284 seconds, 15488 images
243: 4.180317, 4.133578 avg, 0.000003 rate, 8.901086 seconds, 15552 images
244: 3.781642, 4.098385 avg, 0.000004 rate, 9.197441 seconds, 15616 images
245: 3.116958, 4.000242 avg, 0.000004 rate, 9.374270 seconds, 15680 images
246: 3.707596, 3.970978 avg, 0.000004 rate, 8.925334 seconds, 15744 images
247: 4.202983, 3.994178 avg, 0.000004 rate, 8.901136 seconds, 15808 images
248: 3.376973, 3.932457 avg, 0.000004 rate, 8.836923 seconds, 15872 images
249: 3.667502, 3.905962 avg, 0.000004 rate, 9.154789 seconds, 15936 images
250: 3.828143, 3.898180 avg, 0.000004 rate, 9.636418 seconds, 16000 images
251: 3.844727, 3.892835 avg, 0.000004 rate, 5.893679 seconds, 16064 images
252: 3.123072, 3.815858 avg, 0.000004 rate, 6.601364 seconds, 16128 images
253: 3.577399, 3.792012 avg, 0.000004 rate, 6.645637 seconds, 16192 images
254: 3.635147, 3.776326 avg, 0.000004 rate, 6.176604 seconds, 16256 images
255: 3.122747, 3.710968 avg, 0.000004 rate, 5.817875 seconds, 16320 images
256: 3.289184, 3.668790 avg, 0.000004 rate, 6.149301 seconds, 16384 images
257: 3.237964, 3.625707 avg, 0.000004 rate, 6.469891 seconds, 16448 images
258: 3.148168, 3.577953 avg, 0.000004 rate, 5.860729 seconds, 16512 images
259: 2.938158, 3.513974 avg, 0.000004 rate, 5.694080 seconds, 16576 images
260: 2.937221, 3.456298 avg, 0.000005 rate, 6.125893 seconds, 16640 images
261: 2.709309, 3.381599 avg, 0.000005 rate, 8.655303 seconds, 16704 images
262: 2.951953, 3.338635 avg, 0.000005 rate, 8.819374 seconds, 16768 images
263: 3.563832, 3.361154 avg, 0.000005 rate, 8.909986 seconds, 16832 images
264: 2.861394, 3.311178 avg, 0.000005 rate, 8.765792 seconds, 16896 images
265: 2.775725, 3.257633 avg, 0.000005 rate, 8.969620 seconds, 16960 images
266: 2.796807, 3.211550 avg, 0.000005 rate, 8.893122 seconds, 17024 images
267: 2.626231, 3.153018 avg, 0.000005 rate, 8.806164 seconds, 17088 images
268: 2.830239, 3.120741 avg, 0.000005 rate, 9.016264 seconds, 17152 images
269: 3.032338, 3.111900 avg, 0.000005 rate, 9.224149 seconds, 17216 images
270: 3.054011, 3.106111 avg, 0.000005 rate, 8.953566 seconds, 17280 images
271: 2.443999, 3.039900 avg, 0.000005 rate, 4.707872 seconds, 17344 images
272: 2.682181, 3.004128 avg, 0.000005 rate, 4.913042 seconds, 17408 images
273: 2.256771, 2.929393 avg, 0.000006 rate, 5.447961 seconds, 17472 images
274: 3.144712, 2.950925 avg, 0.000006 rate, 5.096481 seconds, 17536 images
275: 2.211347, 2.876967 avg, 0.000006 rate, 5.510127 seconds, 17600 images
276: 3.544313, 2.943702 avg, 0.000006 rate, 4.884389 seconds, 17664 images
277: 2.294380, 2.878769 avg, 0.000006 rate, 5.245503 seconds, 17728 images
278: 3.003366, 2.891229 avg, 0.000006 rate, 5.673800 seconds, 17792 images
279: 2.554234, 2.857530 avg, 0.000006 rate, 5.091738 seconds, 17856 images
